Feedback,True_Category
The classrooms are too small and the fans don't work.,Facilities
The professors explain concepts very clearly.,Academics
The admin office delays issuing important documents.,Administration
There are not enough projectors in the seminar halls.,Facilities
The timetable is not well-structured.,Academics
The Wi-Fi is always down in the hostel.,Facilities
The exam results are not uploaded on time.,Administration
The library is well-maintained and has all the required books.,Academics
Too much administrative paperwork for fee payment.,Administration
The faculty is supportive during lab sessions.,Academics
The cafeteria is unhygienic and food quality is poor.,Facilities
The internal marks are not properly communicated.,Academics
There is no proper parking space for students.,Facilities
The online portal for course registration crashes often.,Administration
Labs do not have updated software tools.,Facilities
The faculty members are not accessible after class hours.,Academics
There is no clear communication about holidays and reschedules.,Administration
The air conditioning in the auditorium doesn’t work.,Facilities
The curriculum does not match industry standards.,Academics
Administrative approvals take too long to process.,Administration
Exam hall seating arrangements are very poor.,Facilities
Clean drinking water is not available in every block.,Facilities
There are not enough charging points in classrooms.,Facilities
The library staff is cooperative and helpful.,Academics
Most faculty are very punctual and professional.,Academics
